#TimeStep,Date,DaysInPeriod,ZeroOrderDIM,AverageDIM,AverageFLOW,SimpleDIM,NettingSet,Time
0,2016-05-06,14,505.740422,505.340631,0.000000,484.586559,CPTY_A,0.248634
1,2016-08-05,14,449.431458,450.613677,0.000000,434.301917,CPTY_A,0.497268
2,2016-11-07,14,503.311435,504.274542,0.000000,430.644558,CPTY_A,0.754098
3,2017-02-06,15,498.557040,498.816083,0.000000,499.505943,CPTY_A,1.003002
4,2017-05-05,14,508.573048,510.205803,0.000000,542.518419,CPTY_A,1.244098
5,2017-08-07,14,484.488929,486.617873,0.000000,579.220729,CPTY_A,1.501632
6,2017-11-06,14,480.119878,483.269188,0.000000,472.580702,CPTY_A,1.750947
7,2018-02-05,15,485.294149,489.570163,0.000000,526.557312,CPTY_A,2.000262
8,2018-05-08,14,521.716530,520.153501,0.000000,576.794468,CPTY_A,2.252317
9,2018-08-06,14,530.386947,530.440653,0.000000,522.191353,CPTY_A,2.498892
10,2018-11-05,14,551.640392,556.865841,0.000000,483.790302,CPTY_A,2.748207
11,2019-02-05,14,564.885948,567.040937,0.000000,620.338076,CPTY_A,3.000262
12,2019-05-07,14,543.450559,539.412891,0.000000,567.477920,CPTY_A,3.249577
13,2019-08-05,14,528.390110,529.928805,0.000000,602.464445,CPTY_A,3.496152
14,2019-11-05,14,545.687399,544.555527,0.000000,536.893103,CPTY_A,3.748207
15,2020-02-05,14,530.975970,527.583299,0.000000,496.170457,CPTY_A,4.000000
16,2020-05-05,14,550.084864,553.463189,0.000000,583.269839,CPTY_A,4.245902
17,2020-08-05,14,517.786444,524.495282,0.000000,486.400804,CPTY_A,4.497268
18,2020-11-05,14,547.000924,551.175044,0.000000,608.354464,CPTY_A,4.748634
19,2021-02-05,14,547.157617,546.360413,0.000000,590.424381,CPTY_A,5.000262
20,2021-05-05,14,559.767165,562.554817,0.000000,552.058216,CPTY_A,5.244098
21,2021-08-05,14,539.616928,546.931825,0.000000,503.326564,CPTY_A,5.496152
22,2021-11-05,14,603.876359,598.773314,0.000000,688.111105,CPTY_A,5.748207
23,2022-02-07,15,623.644682,616.094580,0.000000,654.560556,CPTY_A,6.005741
24,2022-05-05,14,567.319422,571.352034,0.000000,567.735321,CPTY_A,6.244098
25,2022-08-05,14,563.025293,558.290971,0.000000,590.079360,CPTY_A,6.496152
26,2022-11-07,14,621.029750,626.560215,0.000000,609.017970,CPTY_A,6.753687
27,2023-02-06,15,565.275622,555.987247,0.000000,655.384056,CPTY_A,7.003002
28,2023-05-05,14,611.827883,606.949122,0.000000,580.925260,CPTY_A,7.244098
