#Sample,Regressor_0_NPV,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
0,3866.538086,390.197853,0.000000,505.340631,505.740422,169.044407,484.586559
1,4040.488281,413.616696,0.000000,505.340631,505.740422,75.267762,484.586559
2,4044.087646,414.067631,0.000000,505.340631,505.740422,-395.134592,484.586559
3,4077.345947,418.173944,0.000000,505.340631,505.740422,-19.860807,484.586559
4,4256.936035,438.576409,0.000000,505.340631,505.740422,55.694051,484.586559
5,4313.800781,444.456344,0.000000,505.340631,505.740422,-337.824993,484.586559
6,4328.549316,445.938542,0.000000,505.340631,505.740422,142.780345,484.586559
7,4328.578125,445.941420,0.000000,505.340631,505.740422,-281.797418,484.586559
8,4365.720703,449.597839,0.000000,505.340631,505.740422,-129.489856,484.586559
9,4515.845703,463.310778,0.000000,505.340631,505.740422,-93.616081,484.586559
10,4544.827637,465.769663,0.000000,505.340631,505.740422,163.903809,484.586559
11,4603.538574,470.572096,0.000000,505.340631,505.740422,-194.737320,484.586559
12,4647.249512,473.995667,0.000000,505.340631,505.740422,-233.756720,484.586559
13,4707.263672,478.490567,0.000000,505.340631,505.740422,231.198269,484.586559
14,4732.166016,480.287255,0.000000,505.340631,505.740422,189.820854,484.586559
15,4742.992188,481.056021,0.000000,505.340631,505.740422,-53.998129,484.586559
16,4769.970703,482.939538,0.000000,505.340631,505.740422,-73.960461,484.586559
17,4775.163574,483.296834,0.000000,505.340631,505.740422,131.006664,484.586559
18,4803.288574,485.202808,0.000000,505.340631,505.740422,419.220539,484.586559
19,4818.191406,486.192913,0.000000,505.340631,505.740422,-151.830150,484.586559
20,4837.763672,487.472556,0.000000,505.340631,505.740422,-302.771719,484.586559
21,4843.070801,487.815512,0.000000,505.340631,505.740422,256.425429,484.586559
22,4853.036621,488.454900,0.000000,505.340631,505.740422,-52.651150,484.586559
23,4878.209961,490.043265,0.000000,505.340631,505.740422,-193.711745,484.586559
24,4886.847168,490.579480,0.000000,505.340631,505.740422,-113.410146,484.586559
25,4887.240723,490.603806,0.000000,505.340631,505.740422,119.903005,484.586559
26,4894.819824,491.070483,0.000000,505.340631,505.740422,413.787749,484.586559
27,4959.437500,494.911333,0.000000,505.340631,505.740422,-213.494830,484.586559
28,5033.178223,498.997961,0.000000,505.340631,505.740422,228.594731,484.586559
29,5085.671875,501.718604,0.000000,505.340631,505.740422,-260.504553,484.586559
30,5085.901855,501.730184,0.000000,505.340631,505.740422,32.438102,484.586559
31,5093.212891,502.096744,0.000000,505.340631,505.740422,31.055748,484.586559
32,5096.101074,502.240730,0.000000,505.340631,505.740422,178.567754,484.586559
33,5106.588379,502.759660,0.000000,505.340631,505.740422,202.075725,484.586559
34,5112.462891,503.047673,0.000000,505.340631,505.740422,106.871577,484.586559
