#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
CPTY_A,2016-02-05,0.000000,5858.93,0.00,5858.93,5858.93,5858.93,5858.93,5858.93,5858.93
CPTY_A,2016-05-06,0.248634,5855.39,0.00,7397.63,0.00,5885.00,5885.00,5885.00,5885.00
CPTY_A,2016-08-05,0.497268,5880.06,0.00,8085.95,0.00,5939.53,5939.53,5912.26,5912.26
CPTY_A,2016-11-07,0.754098,5843.07,0.00,8686.86,0.00,5932.69,5939.53,5919.22,5921.55
CPTY_A,2017-02-06,1.003002,5832.99,0.00,8609.63,0.00,5951.95,5951.95,5927.34,5929.09
CPTY_A,2017-05-05,1.244098,5822.60,0.00,9256.36,0.00,5970.37,5970.37,5935.68,5937.09
CPTY_A,2017-08-07,1.501632,5827.92,0.00,9918.08,0.00,6006.89,6006.89,5947.89,5949.06
CPTY_A,2017-11-06,1.750947,5854.29,0.00,10290.49,0.00,6064.28,6064.28,5964.46,5965.47
CPTY_A,2018-02-05,2.000262,5891.18,0.00,11123.64,0.00,6132.88,6132.88,5985.46,5986.34
CPTY_A,2018-05-08,2.252317,5873.79,0.00,11038.47,0.00,6145.77,6145.77,6003.40,6004.18
CPTY_A,2018-08-06,2.498892,5843.22,0.00,10630.20,0.00,6144.13,6145.77,6017.28,6018.15
CPTY_A,2018-11-05,2.748207,5835.94,0.00,11325.65,0.00,6167.26,6167.26,6030.89,6031.68
CPTY_A,2019-02-05,3.000262,5867.94,0.00,11593.84,0.00,6232.54,6232.54,6047.83,6048.55
CPTY_A,2019-05-07,3.249577,5865.57,0.00,12525.63,0.00,6261.29,6261.29,6064.21,6064.87
CPTY_A,2019-08-05,3.496152,5878.47,0.00,12865.24,0.00,6306.19,6306.19,6081.27,6081.89
CPTY_A,2019-11-05,3.748207,5897.32,0.00,12848.96,0.00,6358.51,6358.51,6099.92,6100.49
CPTY_A,2020-02-05,4.000000,5936.18,0.00,13274.94,0.00,6432.87,6432.87,6120.88,6121.42
CPTY_A,2020-05-05,4.245902,5934.99,0.00,13928.24,0.00,6463.50,6463.50,6140.72,6141.23
CPTY_A,2020-08-05,4.497268,5919.59,0.00,13802.36,0.00,6479.43,6479.43,6159.65,6160.13
CPTY_A,2020-11-05,4.748634,5872.86,0.00,13900.89,0.00,6460.89,6479.43,6175.60,6177.03
CPTY_A,2021-02-05,5.000262,5892.95,0.00,14526.00,0.00,6515.88,6515.88,6192.72,6194.09
CPTY_A,2021-05-05,5.244098,5955.41,0.00,15091.51,0.00,6617.26,6617.26,6212.46,6213.76
CPTY_A,2021-08-05,5.496152,5860.06,0.00,14382.46,0.00,6544.34,6617.26,6227.68,6232.27
CPTY_A,2021-11-05,5.748207,5835.10,0.00,14188.74,0.00,6549.52,6617.26,6241.79,6249.15
CPTY_A,2022-02-07,6.005741,5821.17,0.00,14497.17,0.00,6567.76,6617.26,6255.77,6264.93
CPTY_A,2022-05-05,6.244098,5829.83,0.00,15454.82,0.00,6609.08,6617.26,6269.26,6278.38
CPTY_A,2022-08-05,6.496152,5822.43,0.00,14559.74,0.00,6634.16,6634.16,6283.42,6292.19
CPTY_A,2022-11-07,6.753687,5883.81,0.00,15130.13,0.00,6738.85,6738.85,6300.78,6309.22
CPTY_A,2023-02-06,7.003002,5830.04,0.00,15278.95,0.00,6710.77,6738.85,6315.38,6324.51
CPTY_A,2023-05-05,7.244098,5894.04,0.00,16322.22,0.00,6817.36,6817.36,6332.09,6340.92
CPTY_A,2023-08-07,7.501632,5841.31,0.00,16918.18,0.00,6791.39,6817.36,6347.85,6357.27
CPTY_A,2023-11-06,7.750947,5832.35,0.00,16812.74,0.00,6815.00,6817.36,6362.88,6372.07
CPTY_A,2024-02-05,8.000000,5808.01,0.00,17654.85,0.00,6820.60,6820.60,6377.13,6386.04
CPTY_A,2024-05-07,8.251366,5822.94,0.00,16162.84,0.00,6872.83,6872.83,6392.23,6400.87
CPTY_A,2024-08-05,8.497268,5885.93,0.00,17816.31,0.00,6981.65,6981.65,6409.29,6417.67
CPTY_A,2024-11-05,8.748634,5866.52,0.00,16883.92,0.00,6993.92,6993.92,6426.09,6434.23
CPTY_A,2025-02-05,9.000262,5904.47,0.00,17202.29,0.00,7074.87,7074.87,6444.22,6452.14
CPTY_A,2025-05-06,9.246837,5907.76,0.00,16813.19,0.00,7113.94,7113.94,6462.08,6469.79
