#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
BermSwp,2016-02-05,0.000000,5859,0,0,0,5859,5859,5859,5858.93,5858.93
BermSwp,2016-05-06,0.248634,5855,0,0,0,7398,5885,5885,5885.00,5885.00
BermSwp,2016-08-05,0.497268,5880,0,0,0,8086,5940,5940,5912.26,5912.26
BermSwp,2016-11-07,0.754098,5843,0,0,0,8687,5933,5940,5919.22,5921.55
BermSwp,2017-02-06,1.003002,5833,0,0,0,8610,5952,5952,5927.34,5929.09
BermSwp,2017-05-05,1.244098,5823,0,0,0,9256,5970,5970,5935.68,5937.09
BermSwp,2017-08-07,1.501632,5828,0,0,0,9918,6007,6007,5947.89,5949.06
BermSwp,2017-11-06,1.750947,5854,0,0,0,10290,6064,6064,5964.46,5965.47
BermSwp,2018-02-05,2.000262,5891,0,0,0,11124,6133,6133,5985.46,5986.34
BermSwp,2018-05-08,2.252317,5874,0,0,0,11038,6146,6146,6003.40,6004.18
BermSwp,2018-08-06,2.498892,5843,0,0,0,10630,6144,6146,6017.28,6018.15
BermSwp,2018-11-05,2.748207,5836,0,0,0,11326,6167,6167,6030.89,6031.68
BermSwp,2019-02-05,3.000262,5868,0,0,0,11594,6233,6233,6047.83,6048.55
BermSwp,2019-05-07,3.249577,5866,0,0,0,12526,6261,6261,6064.21,6064.87
BermSwp,2019-08-05,3.496152,5878,0,0,0,12865,6306,6306,6081.27,6081.89
BermSwp,2019-11-05,3.748207,5897,0,0,0,12849,6359,6359,6099.92,6100.49
BermSwp,2020-02-05,4.000000,5936,0,0,0,13275,6433,6433,6120.88,6121.42
BermSwp,2020-05-05,4.245902,5935,0,0,0,13928,6463,6463,6140.72,6141.23
BermSwp,2020-08-05,4.497268,5920,0,0,0,13802,6479,6479,6159.65,6160.13
BermSwp,2020-11-05,4.748634,5873,0,0,0,13901,6461,6479,6175.60,6177.03
BermSwp,2021-02-05,5.000262,5893,0,0,0,14526,6516,6516,6192.72,6194.09
BermSwp,2021-05-05,5.244098,5955,0,0,0,15092,6617,6617,6212.46,6213.76
BermSwp,2021-08-05,5.496152,5860,0,0,0,14382,6544,6617,6227.68,6232.27
BermSwp,2021-11-05,5.748207,5835,0,0,0,14189,6550,6617,6241.79,6249.15
BermSwp,2022-02-07,6.005741,5821,0,0,0,14497,6568,6617,6255.77,6264.93
BermSwp,2022-05-05,6.244098,5830,0,0,0,15455,6609,6617,6269.26,6278.38
BermSwp,2022-08-05,6.496152,5822,0,0,0,14560,6634,6634,6283.42,6292.19
BermSwp,2022-11-07,6.753687,5884,0,0,0,15130,6739,6739,6300.78,6309.22
BermSwp,2023-02-06,7.003002,5830,0,0,0,15279,6711,6739,6315.38,6324.51
BermSwp,2023-05-05,7.244098,5894,0,0,0,16322,6817,6817,6332.09,6340.92
BermSwp,2023-08-07,7.501632,5841,0,0,0,16918,6791,6817,6347.85,6357.27
BermSwp,2023-11-06,7.750947,5832,0,0,0,16813,6815,6817,6362.88,6372.07
BermSwp,2024-02-05,8.000000,5808,0,0,0,17655,6821,6821,6377.13,6386.04
BermSwp,2024-05-07,8.251366,5823,0,0,0,16163,6873,6873,6392.23,6400.87
BermSwp,2024-08-05,8.497268,5886,0,0,0,17816,6982,6982,6409.29,6417.67
BermSwp,2024-11-05,8.748634,5867,0,0,0,16884,6994,6994,6426.09,6434.23
BermSwp,2025-02-05,9.000262,5904,0,0,0,17202,7075,7075,6444.22,6452.14
