#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
CPTY_A,2016-02-05,0.000000,139479.45,0.00,139479.45,139479.45,139479.45,139479.45,139479.45,139479.45
CPTY_A,2016-02-19,0.038251,137936.47,0.00,152324.19,0.00,138042.97,139479.45,138042.97,139479.45
CPTY_A,2016-03-04,0.076503,138626.31,0.00,167116.22,0.00,138840.45,139479.45,138441.71,139479.45
CPTY_A,2016-03-18,0.114754,139154.57,0.00,168189.78,0.00,139477.12,139479.45,138786.85,139479.45
CPTY_A,2016-04-01,0.153005,141087.82,0.00,174076.03,0.00,141524.04,141524.04,139471.14,139990.59
CPTY_A,2016-04-15,0.191257,143460.65,0.00,177104.27,0.00,144015.30,144015.30,140379.99,140795.55
CPTY_A,2016-04-29,0.229508,143142.02,0.00,188926.38,0.00,143806.38,144015.30,140951.05,141332.17
CPTY_A,2016-05-13,0.267760,141291.91,0.00,202037.01,0.00,142057.28,144015.30,141109.08,141715.48
CPTY_A,2016-05-27,0.306011,142156.72,0.00,212273.20,0.00,143037.12,144015.30,141350.09,142002.95
CPTY_A,2016-06-10,0.344262,141766.05,0.00,207633.69,0.00,142754.16,144015.30,141506.09,142226.55
CPTY_A,2016-06-24,0.382514,144465.93,0.00,218710.87,0.00,145585.17,145585.17,141914.01,142562.41
CPTY_A,2016-07-08,0.420765,145249.76,0.00,231061.86,0.00,146488.08,146488.08,142329.83,142919.29
CPTY_A,2016-07-22,0.459016,146672.67,0.00,231628.22,0.00,148037.32,148037.32,142805.45,143345.79
CPTY_A,2016-08-05,0.497268,147959.25,0.00,236533.61,0.00,149451.18,149451.18,143316.67,143815.44
CPTY_A,2016-08-19,0.535519,145117.69,0.00,239314.34,0.00,146691.60,149451.18,143557.73,144217.99
CPTY_A,2016-09-02,0.573770,145515.71,0.00,227857.10,0.00,147204.86,149451.18,143800.87,144566.87
CPTY_A,2016-09-16,0.612022,141954.04,0.00,214485.15,0.00,143709.86,149451.18,143795.18,144872.14
CPTY_A,2016-09-30,0.650273,141793.91,0.00,224877.28,0.00,143655.62,149451.18,143786.97,145141.49
CPTY_A,2016-10-14,0.688525,138793.25,0.00,208710.65,0.00,140721.24,149451.18,143616.65,145380.93
CPTY_A,2016-10-28,0.726776,136545.54,0.00,225981.31,0.00,138546.33,149451.18,143349.80,145595.15
CPTY_A,2016-11-14,0.773224,132423.74,0.00,229964.32,0.00,134486.75,149451.18,142817.39,145826.78
CPTY_A,2016-11-25,0.803279,133756.62,0.00,230554.36,0.00,135920.61,149451.18,142559.34,145962.39
CPTY_A,2016-12-09,0.841530,133197.34,0.00,228069.89,0.00,135453.99,149451.18,142236.37,146120.97
CPTY_A,2016-12-23,0.879781,130047.47,0.00,218521.33,0.00,132350.14,149451.18,141806.54,146265.76
CPTY_A,2017-01-06,0.918070,130466.10,0.00,228922.86,0.00,132876.06,149451.18,141434.09,146398.61
CPTY_A,2017-01-20,0.956426,129571.00,0.00,222673.80,0.00,132063.86,149451.18,141058.31,146521.03
CPTY_A,2017-02-03,0.994783,130733.38,0.00,236890.93,0.00,133349.01,149451.18,140761.05,146634.01
CPTY_A,2017-02-17,1.033139,133857.05,0.00,247223.93,0.00,136638.06,149451.18,140607.98,146738.60
CPTY_A,2017-03-03,1.071495,133309.20,0.00,264867.04,0.00,136181.37,149451.18,140449.53,146835.70
CPTY_A,2017-03-17,1.109851,134525.12,0.00,246637.39,0.00,137527.05,149451.18,140348.53,146926.09
CPTY_A,2017-03-31,1.148207,135630.51,0.00,252023.59,0.00,138761.58,149451.18,140295.51,147010.44
CPTY_A,2017-04-18,1.197522,135472.69,0.00,255949.38,0.00,138734.41,149451.18,140231.23,147110.95
CPTY_A,2017-04-28,1.224920,135081.18,0.00,245421.38,0.00,138407.93,149451.18,140190.44,147163.30
CPTY_A,2017-05-12,1.263276,137906.41,0.00,243325.13,0.00,141409.21,149451.18,140227.45,147232.76
CPTY_A,2017-05-26,1.301632,140460.48,0.00,237474.29,0.00,144136.69,149451.18,140342.64,147298.14
CPTY_A,2017-06-09,1.339988,141832.66,0.00,239216.20,0.00,145654.45,149451.18,140494.69,147359.76
CPTY_A,2017-06-23,1.378344,145114.47,0.00,237279.73,0.00,149136.99,149451.18,140735.19,147417.96
CPTY_A,2017-07-07,1.416700,145204.51,0.00,256392.92,0.00,149341.98,149451.18,140968.21,147473.01
CPTY_A,2017-07-21,1.455057,146620.49,0.00,251352.55,0.00,150911.94,150911.94,141230.34,147563.67
CPTY_A,2017-08-04,1.493413,147720.06,0.00,272944.60,0.00,152158.26,152158.26,141511.00,147681.67
CPTY_A,2017-08-18,1.531769,148149.90,0.00,273729.74,0.00,152716.01,152716.01,141791.58,147807.73
CPTY_A,2017-09-01,1.570125,143396.93,0.00,251213.73,0.00,147927.93,152716.01,141941.48,147927.63
CPTY_A,2017-09-15,1.608481,143911.12,0.00,269302.93,0.00,148570.24,152716.01,142099.55,148041.82
CPTY_A,2017-09-29,1.646837,143286.00,0.00,262559.45,0.00,148036.34,152716.01,142237.82,148150.68
CPTY_A,2017-10-13,1.685194,144703.84,0.00,271758.06,0.00,149613.85,152716.01,142405.71,148254.60
CPTY_A,2017-10-27,1.723550,145454.16,0.00,267735.83,0.00,150502.95,152716.01,142585.91,148353.88
CPTY_A,2017-11-13,1.770125,143844.05,0.00,272191.21,0.00,148973.15,152716.01,142753.97,148468.66
CPTY_A,2017-11-24,1.800262,143410.31,0.00,269789.61,0.00,148611.88,152716.01,142852.03,148539.76
CPTY_A,2017-12-08,1.838618,146876.36,0.00,303252.74,0.00,152318.34,152716.01,143049.51,148626.88
CPTY_A,2017-12-22,1.876974,147520.84,0.00,298930.50,0.00,153101.97,153101.97,143254.93,148718.33
CPTY_A,2018-01-05,1.915330,146986.64,0.00,277320.71,0.00,152662.51,153101.97,143443.33,148806.11
CPTY_A,2018-01-19,1.953687,144838.82,0.00,262685.65,0.00,150545.11,153101.97,143582.76,148890.46
CPTY_A,2018-02-02,1.992043,143557.65,0.00,259658.70,0.00,149325.90,153101.97,143693.34,148971.55
CPTY_A,2018-02-16,2.030399,142469.60,0.00,267131.86,0.00,148306.38,153101.97,143780.48,149049.57
CPTY_A,2018-03-02,2.068755,141320.65,0.00,249654.16,0.00,147222.00,153101.97,143844.29,149124.71
CPTY_A,2018-03-16,2.107111,143663.97,0.00,276966.87,0.00,149776.85,153101.97,143952.28,149197.11
CPTY_A,2018-04-03,2.156426,145997.67,0.00,288219.03,0.00,152358.56,153101.97,144144.52,149286.41
CPTY_A,2018-04-13,2.183824,146397.19,0.00,290957.49,0.00,152858.40,153101.97,144253.85,149334.28
CPTY_A,2018-04-27,2.222180,146614.36,0.00,298515.14,0.00,153201.46,153201.46,144408.29,149401.02
CPTY_A,2018-05-11,2.260536,145794.27,0.00,312071.06,0.00,152460.28,153201.46,144544.91,149465.51
CPTY_A,2018-05-25,2.298892,144293.86,0.00,330765.60,0.00,151005.91,153201.46,144652.71,149527.84
CPTY_A,2018-06-08,2.337248,144296.96,0.00,344413.85,0.00,151123.89,153201.46,144758.91,149588.13
CPTY_A,2018-06-22,2.375604,143314.63,0.00,335686.62,0.00,150209.13,153201.46,144846.90,149646.47
CPTY_A,2018-07-06,2.413961,140449.39,0.00,340612.46,0.00,147317.90,153201.46,144886.17,149702.96
CPTY_A,2018-07-20,2.452317,140880.86,0.00,307155.19,0.00,147882.75,153201.46,144933.04,149757.68
CPTY_A,2018-08-03,2.490673,141428.71,0.00,308878.66,0.00,148570.63,153201.46,144989.06,149810.71
CPTY_A,2018-08-17,2.529029,143561.82,0.00,295722.49,0.00,150926.05,153201.46,145079.10,149862.13
CPTY_A,2018-08-31,2.567385,144038.68,0.00,311858.81,0.00,151542.42,153201.46,145175.66,149912.02
CPTY_A,2018-09-14,2.605741,143594.60,0.00,334234.30,0.00,151189.99,153201.46,145264.19,149960.44
CPTY_A,2018-09-28,2.644098,144442.51,0.00,327924.73,0.00,152198.30,153201.46,145364.78,150007.46
CPTY_A,2018-10-12,2.682454,144238.38,0.00,355907.30,0.00,152098.69,153201.46,145461.07,150053.13
CPTY_A,2018-10-26,2.720810,144660.39,0.00,353146.33,0.00,152659.60,153201.46,145562.54,150097.51
CPTY_A,2018-11-09,2.759166,142818.30,0.00,351956.41,0.00,150830.17,153201.46,145635.77,150140.66
CPTY_A,2018-11-23,2.797522,143187.96,0.00,352571.22,0.00,151335.46,153201.46,145713.92,150182.63
CPTY_A,2018-12-07,2.835878,146427.39,0.00,351500.53,0.00,154876.80,154876.80,145837.85,150246.12
