#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
FxOption,2016-02-05,0.000000,139479,0,0,0,139479,139479,139479,139479.45,139479.45
FxOption,2016-02-19,0.038251,137936,0,0,0,152324,138043,139479,138042.97,139479.45
FxOption,2016-03-04,0.076503,138626,0,0,0,167116,138840,139479,138441.71,139479.45
FxOption,2016-03-18,0.114754,139155,0,0,0,168190,139477,139479,138786.85,139479.45
FxOption,2016-04-01,0.153005,141088,0,0,0,174076,141524,141524,139471.14,139990.59
FxOption,2016-04-15,0.191257,143461,0,0,0,177104,144015,144015,140379.99,140795.55
FxOption,2016-04-29,0.229508,143142,0,0,0,188926,143806,144015,140951.05,141332.17
FxOption,2016-05-13,0.267760,141292,0,0,0,202037,142057,144015,141109.08,141715.48
FxOption,2016-05-27,0.306011,142157,0,0,0,212273,143037,144015,141350.09,142002.95
FxOption,2016-06-10,0.344262,141766,0,0,0,207634,142754,144015,141506.09,142226.55
FxOption,2016-06-24,0.382514,144466,0,0,0,218711,145585,145585,141914.01,142562.41
FxOption,2016-07-08,0.420765,145250,0,0,0,231062,146488,146488,142329.83,142919.29
FxOption,2016-07-22,0.459016,146673,0,0,0,231628,148037,148037,142805.45,143345.79
FxOption,2016-08-05,0.497268,147959,0,0,0,236534,149451,149451,143316.67,143815.44
FxOption,2016-08-19,0.535519,145118,0,0,0,239314,146692,149451,143557.73,144217.99
FxOption,2016-09-02,0.573770,145516,0,0,0,227857,147205,149451,143800.87,144566.87
FxOption,2016-09-16,0.612022,141954,0,0,0,214485,143710,149451,143795.18,144872.14
FxOption,2016-09-30,0.650273,141794,0,0,0,224877,143656,149451,143786.97,145141.49
FxOption,2016-10-14,0.688525,138793,0,0,0,208711,140721,149451,143616.65,145380.93
FxOption,2016-10-28,0.726776,136546,0,0,0,225981,138546,149451,143349.80,145595.15
FxOption,2016-11-14,0.773224,132424,0,0,0,229964,134487,149451,142817.39,145826.78
FxOption,2016-11-25,0.803279,133757,0,0,0,230554,135921,149451,142559.34,145962.39
FxOption,2016-12-09,0.841530,133197,0,0,0,228070,135454,149451,142236.37,146120.97
FxOption,2016-12-23,0.879781,130047,0,0,0,218521,132350,149451,141806.54,146265.76
FxOption,2017-01-06,0.918070,130466,0,0,0,228923,132876,149451,141434.09,146398.61
FxOption,2017-01-20,0.956426,129571,0,0,0,222674,132064,149451,141058.31,146521.03
FxOption,2017-02-03,0.994783,130733,0,0,0,236891,133349,149451,140761.05,146634.01
FxOption,2017-02-17,1.033139,133857,0,0,0,247224,136638,149451,140607.98,146738.60
FxOption,2017-03-03,1.071495,133309,0,0,0,264867,136181,149451,140449.53,146835.70
FxOption,2017-03-17,1.109851,134525,0,0,0,246637,137527,149451,140348.53,146926.09
FxOption,2017-03-31,1.148207,135631,0,0,0,252024,138762,149451,140295.51,147010.44
FxOption,2017-04-18,1.197522,135473,0,0,0,255949,138734,149451,140231.23,147110.95
FxOption,2017-04-28,1.224920,135081,0,0,0,245421,138408,149451,140190.44,147163.30
FxOption,2017-05-12,1.263276,137906,0,0,0,243325,141409,149451,140227.45,147232.76
FxOption,2017-05-26,1.301632,140460,0,0,0,237474,144137,149451,140342.64,147298.14
FxOption,2017-06-09,1.339988,141833,0,0,0,239216,145654,149451,140494.69,147359.76
