#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
CPTY_A,2016-02-05,0.000000,602.34,0.00,602.34,602.34,602.34,602.34,602.34,602.34
CPTY_A,2016-03-07,0.084699,113504.46,90779.97,404225.98,0.00,113504.46,113504.46,113504.46,113504.46
CPTY_A,2016-04-05,0.163934,152059.86,128454.90,560103.78,0.00,152059.86,152059.86,132139.63,132139.63
CPTY_A,2016-05-06,0.248634,179132.89,192444.89,801904.80,0.00,179132.89,179132.89,148148.41,148148.41
CPTY_A,2016-06-06,0.333333,195902.90,203330.63,1132180.26,0.00,195902.90,195902.90,160282.70,160282.70
CPTY_A,2016-07-05,0.412568,214738.97,205752.30,929873.37,0.00,214738.97,214738.97,170741.20,170741.20
CPTY_A,2016-08-05,0.497268,261538.38,215395.69,924192.38,0.00,261538.38,261538.38,186206.75,186206.75
CPTY_A,2016-09-06,0.584699,355276.55,179557.19,1265638.34,0.00,355276.55,355276.55,211488.03,211488.03
CPTY_A,2016-10-05,0.663934,382157.08,187438.86,1241172.70,0.00,382157.08,382157.08,231855.96,231855.96
CPTY_A,2016-11-07,0.754098,377987.80,171486.84,1256760.60,0.00,377987.80,382157.08,249328.27,249826.77
CPTY_A,2016-12-05,0.830601,402118.26,198964.89,1490757.68,0.00,402118.26,402118.26,263401.08,263853.67
CPTY_A,2017-01-05,0.915330,429909.72,178162.79,1434359.49,0.00,429909.72,429909.72,278814.22,279224.92
CPTY_A,2017-02-06,1.003002,472750.63,173920.19,1616351.06,0.00,472750.63,472750.63,295766.13,296140.92
CPTY_A,2017-03-06,1.079714,421296.66,234050.14,1636694.71,0.00,421296.66,472750.63,304684.88,308688.77
CPTY_A,2017-04-05,1.161906,436199.47,255772.38,1747901.98,0.00,436199.47,472750.63,313988.08,320294.33
CPTY_A,2017-05-05,1.244098,498762.90,268401.16,1585648.41,0.00,498762.90,498762.90,326195.33,332084.95
CPTY_A,2017-06-06,1.331769,530094.79,266295.47,1457788.42,0.00,530094.79,530094.79,339618.13,345120.03
CPTY_A,2017-07-05,1.411221,514632.31,278165.57,1526923.33,0.00,514632.31,530094.79,349471.46,355534.15
CPTY_A,2017-08-07,1.501632,610547.06,277356.79,1718563.71,0.00,610547.06,610547.06,365190.43,370888.09
CPTY_A,2017-09-05,1.581084,615647.93,236028.25,1748148.38,0.00,615647.93,615647.93,377776.32,383187.66
CPTY_A,2017-10-05,1.663276,606922.19,237217.90,1716779.43,0.00,606922.19,615647.93,389099.73,394674.86
CPTY_A,2017-11-06,1.750947,634341.03,243843.24,1850336.17,0.00,634341.03,634341.03,401379.11,406675.09
CPTY_A,2017-12-05,1.830399,595387.05,272658.90,2019696.20,0.00,595387.05,634341.03,409800.40,416557.37
CPTY_A,2018-01-05,1.915330,657889.71,297179.55,2041131.69,0.00,657889.71,657889.71,420801.36,427258.71
CPTY_A,2018-02-05,2.000262,684915.15,313718.69,1766592.45,0.00,684915.15,684915.15,432015.75,438198.91
CPTY_A,2018-03-05,2.076974,600733.48,346240.17,1726442.95,0.00,600733.48,684915.15,438247.25,447311.26
CPTY_A,2018-04-05,2.161906,561672.61,370217.03,1813026.79,0.00,561672.61,684915.15,443096.11,456645.69
CPTY_A,2018-05-08,2.252317,583694.66,318168.97,1786763.94,0.00,583694.66,684915.15,448739.92,465808.73
CPTY_A,2018-06-05,2.329029,633178.26,283208.99,1943008.50,0.00,633178.26,684915.15,454814.83,473025.51
CPTY_A,2018-07-05,2.411221,589291.90,292906.86,1686739.85,0.00,589291.90,684915.15,459398.79,480248.26
CPTY_A,2018-08-06,2.498892,600574.18,276689.45,1655258.01,0.00,600574.18,684915.15,464351.78,487428.78
CPTY_A,2018-09-05,2.581084,678510.16,253829.34,1756723.46,0.00,678510.16,684915.15,471171.43,493717.53
CPTY_A,2018-10-05,2.663276,701264.96,274038.81,2086201.88,0.00,701264.96,701264.96,478272.40,500122.70
CPTY_A,2018-11-05,2.748207,733142.07,287162.77,2243389.67,0.00,733142.07,733142.07,486148.93,507323.97
CPTY_A,2018-12-05,2.830399,676378.01,281734.13,2206498.94,0.00,676378.01,733142.07,491673.00,513881.50
CPTY_A,2019-01-07,2.920810,701373.76,294616.88,2232750.49,0.00,701373.76,733142.07,498164.09,520668.51
CPTY_A,2019-02-05,3.000262,747046.79,344899.85,2320057.33,0.00,747046.79,747046.79,504754.93,526663.39
CPTY_A,2019-03-05,3.076974,707675.98,378990.84,2391958.78,0.00,707675.98,747046.79,509813.95,532157.77
CPTY_A,2019-04-05,3.161906,682129.21,386307.95,2585246.56,0.00,682129.21,747046.79,514442.51,537929.91
CPTY_A,2019-05-07,3.249577,727631.60,402358.89,2450013.90,0.00,727631.60,747046.79,520194.18,543571.71
CPTY_A,2019-06-05,3.329029,703571.66,394924.46,2303437.61,0.00,703571.66,747046.79,524570.75,548427.93
CPTY_A,2019-07-05,3.411221,705446.44,400250.91,2605425.41,0.00,705446.44,747046.79,528928.88,553213.58
CPTY_A,2019-08-05,3.496152,777829.47,416273.04,2697791.61,0.00,777829.47,777829.47,534975.34,558670.10
CPTY_A,2019-09-05,3.581084,848407.37,346374.65,2783943.66,0.00,848407.37,848407.37,542408.96,565541.76
CPTY_A,2019-10-07,3.668755,903544.30,336389.23,2878956.35,0.00,903544.30,903544.30,551038.89,573618.89
CPTY_A,2019-11-05,3.748207,909536.16,344917.29,3032265.32,0.00,909536.16,909536.16,558638.08,580739.44
CPTY_A,2019-12-05,3.830399,907863.47,331396.09,3147290.19,0.00,907863.47,909536.16,566131.69,587794.70
CPTY_A,2020-01-06,3.918033,932737.97,333228.09,3060868.32,0.00,932737.97,932737.97,574331.51,595509.99
CPTY_A,2020-02-05,4.000000,906491.77,337852.53,2814217.74,0.00,906491.77,932737.97,581138.06,602420.38
CPTY_A,2020-03-05,4.079235,838971.23,369192.02,2627811.82,0.00,838971.23,932737.97,586146.21,608836.46
CPTY_A,2020-04-06,4.166667,941837.13,356734.68,2578397.34,0.00,941837.13,941837.13,593609.91,615824.04
CPTY_A,2020-05-05,4.245902,955590.17,377572.66,2799139.69,0.00,955590.17,955590.17,600365.01,622164.60
CPTY_A,2020-06-05,4.330601,908909.92,392601.94,2849808.80,0.00,908909.92,955590.17,606399.61,628685.82
CPTY_A,2020-07-06,4.415301,934621.34,411349.33,3141415.40,0.00,934621.34,955590.17,612695.99,634956.92
CPTY_A,2020-08-05,4.497268,942878.96,421516.10,3374858.29,0.00,942878.96,955590.17,618713.89,640800.77
CPTY_A,2020-09-08,4.590164,996795.25,391784.38,3405062.69,0.00,996795.25,996795.25,626365.52,648005.40
CPTY_A,2020-10-05,4.663934,1027247.61,367301.33,3452445.25,0.00,1027247.61,1027247.61,632706.32,654003.92
CPTY_A,2020-11-05,4.748634,1007660.45,355438.58,3587189.11,0.00,1007660.45,1027247.61,639394.27,660661.36
CPTY_A,2020-12-07,4.836066,995241.83,393386.27,3309101.11,0.00,995241.83,1027247.61,645827.69,667288.93
CPTY_A,2021-01-05,4.915330,1011795.49,391473.93,3271056.80,0.00,1011795.49,1027247.61,651729.24,673093.58
CPTY_A,2021-02-05,5.000262,980655.57,373122.44,2912663.71,0.00,980655.57,1027247.61,657316.22,679109.07
CPTY_A,2021-03-05,5.076974,876284.18,381294.05,2702692.81,0.00,876284.18,1027247.61,660624.78,684369.37
CPTY_A,2021-04-06,5.164646,916244.64,382303.42,2759133.56,0.00,916244.64,1027247.61,664964.04,690189.87
CPTY_A,2021-05-05,5.244098,941407.86,376463.75,2951329.52,0.00,941407.86,1027247.61,669152.37,695296.54
CPTY_A,2021-06-07,5.334509,951408.03,378028.80,3101540.07,0.00,951408.03,1027247.61,673936.13,700922.56
CPTY_A,2021-07-06,5.413961,984603.92,395058.82,3035322.68,0.00,984603.92,1027247.61,678495.30,705711.51
CPTY_A,2021-08-05,5.496152,939889.10,397680.85,2830883.23,0.00,939889.10,1027247.61,682404.26,710519.85
CPTY_A,2021-09-07,5.586563,1010447.61,364982.84,2986965.40,0.00,1010447.61,1027247.61,687713.20,715645.66
CPTY_A,2021-10-05,5.663276,1057717.49,352299.51,3090219.29,0.00,1057717.49,1057717.49,692725.16,720279.26
CPTY_A,2021-11-05,5.748207,1083683.61,354702.14,3008148.05,0.00,1083683.61,1083683.61,698501.66,725648.64
CPTY_A,2021-12-06,5.833139,1050612.10,338598.76,3075604.05,0.00,1050612.10,1083683.61,703628.47,730861.72
CPTY_A,2022-01-05,5.915330,1053125.17,347774.49,3071129.11,0.00,1053125.17,1083683.61,708484.58,735764.03
CPTY_A,2022-02-07,6.005741,979607.78,310623.41,2942421.72,0.00,979607.78,1083683.61,712566.10,741001.65
CPTY_A,2022-03-07,6.082454,931309.38,346761.36,2989183.87,0.00,931309.38,1083683.61,715324.93,745323.61
CPTY_A,2022-04-05,6.161906,887700.86,361400.07,2608565.86,0.00,887700.86,1083683.61,717547.55,749686.45
CPTY_A,2022-05-05,6.244098,886657.66,362852.38,2739957.87,0.00,886657.66,1083683.61,719773.57,754082.90
CPTY_A,2022-06-07,6.334509,907167.92,394108.13,3137840.79,0.00,907167.92,1083683.61,722448.21,758787.22
CPTY_A,2022-07-05,6.411221,915673.53,390496.83,3184552.84,0.00,915673.53,1083683.61,724760.20,762674.69
CPTY_A,2022-08-05,6.496152,908781.08,395228.44,3047429.34,0.00,908781.08,1083683.61,727166.10,766871.58
CPTY_A,2022-09-06,6.583824,905602.72,327382.84,2823216.55,0.00,905602.72,1083683.61,729542.21,771090.33
CPTY_A,2022-10-05,6.663276,922125.80,301732.42,3082301.09,0.00,922125.80,1083683.61,731838.55,774817.65
CPTY_A,2022-11-07,6.753687,928474.86,297640.43,2958492.90,0.00,928474.86,1083683.61,734470.91,778952.41
CPTY_A,2022-12-05,6.830399,936082.13,310454.05,2922210.18,0.00,936082.13,1083683.61,736735.19,782374.84
CPTY_A,2023-01-05,6.915330,915381.49,335234.62,2675646.70,0.00,915381.49,1083683.61,738929.25,786075.38
CPTY_A,2023-02-06,7.003002,874248.56,346171.07,2679664.21,0.00,874248.56,1083683.61,740623.34,789801.20
CPTY_A,2023-03-06,7.079714,821093.07,343705.66,2787117.66,0.00,821093.07,1083683.61,741495.27,792985.55
CPTY_A,2023-04-05,7.161906,824197.30,365780.37,2654116.53,0.00,824197.30,1083683.61,742444.38,796321.68
