Mon Mar 23 20:21:39 2026    /tmp/usd_sofr_basis.prof

         2282331 function calls (2264917 primitive calls) in 7.626 seconds

   Ordered by: cumulative time
   List reduced from 6043 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    614/1    0.038    0.000    7.627    7.627 {built-in method builtins.exec}
        1    0.000    0.000    7.627    7.627 /Users/gordonlee/Documents/PythonOreRunner/example_ore_snapshot_usd_sofr_basis_swaps.py:1(<module>)
        1    0.000    0.000    7.445    7.445 /Users/gordonlee/Documents/PythonOreRunner/example_ore_snapshot_usd_sofr_basis_swaps.py:403(main)
        1    0.000    0.000    7.442    7.442 /Users/gordonlee/Documents/PythonOreRunner/example_ore_snapshot_usd_sofr_basis_swaps.py:385(_run_cli)
        1    0.000    0.000    7.442    7.442 /Users/gordonlee/Documents/PythonOreRunner/src/pythonore/workflows/ore_snapshot_cli.py:7704(main)
        1    0.004    0.004    7.440    7.440 /Users/gordonlee/Documents/PythonOreRunner/src/pythonore/workflows/ore_snapshot_cli.py:7089(_run_case)
        1    0.000    0.000    6.716    6.716 /Users/gordonlee/Documents/PythonOreRunner/src/pythonore/workflows/ore_snapshot_cli.py:5019(_compute_snapshot_case)
        1    0.000    0.000    6.716    6.716 /Users/gordonlee/Documents/PythonOreRunner/src/pythonore/io/ore_snapshot.py:2288(load_from_ore_xml)
        1    0.000    0.000    6.709    6.709 /Users/gordonlee/Documents/PythonOreRunner/src/pythonore/io/ore_snapshot.py:848(resolve_lgm_params)
        1    0.000    0.000    6.400    6.400 /Users/gordonlee/Documents/PythonOreRunner/src/pythonore/io/ore_snapshot.py:775(calibrate_lgm_params_via_ore)
        1    0.000    0.000    6.397    6.397 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/subprocess.py:512(run)
        1    0.000    0.000    6.394    6.394 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/subprocess.py:1178(communicate)
        1    0.000    0.000    6.394    6.394 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/subprocess.py:2072(_communicate)
       17    0.000    0.000    6.393    0.376 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/selectors.py:385(select)
       17    6.393    0.376    6.393    0.376 {method 'poll' of 'select.poll' objects}
   610/10    0.002    0.000    0.477    0.048 <frozen importlib._bootstrap>:1349(_find_and_load)
   610/10    0.001    0.000    0.476    0.048 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
   578/10    0.001    0.000    0.475    0.048 <frozen importlib._bootstrap>:911(_load_unlocked)
   483/10    0.001    0.000    0.475    0.048 <frozen importlib._bootstrap_external>:1020(exec_module)
  1392/19    0.000    0.000    0.475    0.025 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
